"commentAuthor","month","nocomm"
"dev2","2006-04",1
"dev2","2006-03",4
"dev40","2001-09",11
"dev15","2006-02",1
"dev15","2001-09",35
"dev15","2005-07",1
"dev91","2005-06",4
"dev15","2004-06",12
"dev15","2005-04",1
"dev85","2005-04",1
"dev40","2004-08",11
"dev86","2005-04",1
"dev15","2003-05",11
"dev15","2004-05",24
"dev40","2003-07",3
"dev40","2004-11",9
"dev40","2005-03",1
"dev15","2002-12",12
"dev40","2003-03",5
"dev86","2002-09",2
"dev2","2004-03",1
"dev85","2003-10",2
"dev85","2004-11",1
"dev40","2004-03",9
"dev40","2004-10",4
"dev15","2004-10",4
"dev15","2001-06",3
"dev15","2001-01",1
"dev15","2001-02",1
"dev15","2001-05",1
"dev15","2001-08",33
"dev15","2001-07",27
"dev37","2004-09",1
"dev15","2001-12",73
"dev15","2002-01",19
"dev40","2004-04",6
"dev85","2004-03",7
"dev85","2004-04",1
"dev54","2001-07",3
"dev54","2002-06",1
"dev40","2001-08",42
"dev89","2001-06",67
"dev15","2003-06",9
"dev15","2003-09",4
"dev40","2002-01",4
"dev40","2002-09",4
"dev40","2003-02",5
"dev15","2002-05",8
"dev40","2002-11",5
"dev40","2003-11",2
"dev86","2003-11",2
"dev40","2003-06",4
"dev15","2002-03",31
"dev85","2002-08",1
"dev40","2002-03",12
"dev37","2000-10",8
"dev85","2003-06",3
"dev86","2003-05",1
"dev40","2003-01",2
"dev85","2003-05",2
"dev85","2003-04",2
"dev15","2001-10",30
"dev40","2002-05",1
"dev40","2002-04",4
"dev15","2002-06",4
"dev40","2001-10",9
"dev85","2002-12",1
"dev85","2002-11",4
"dev89","2001-05",3
"dev85","2002-10",6
"dev88","2002-10",5
"dev85","2002-09",1
"dev37","2000-09",150
"dev37","2000-11",6
"dev85","2000-09",4
"dev89","2001-04",18
"dev85","2000-10",37
"dev85","2001-04",12
"dev67","2001-06",1
"dev85","2001-06",5
"dev89","2001-08",5
"dev40","2001-11",6
"dev40","2002-02",8
"dev67","2002-04",1
"dev85","2001-05",12
"dev85","2001-08",5
"dev37","2000-02",1
"dev85","2001-01",5
"dev85","2001-03",10
"dev40","2001-05",1
"dev85","2001-11",3
"dev85","2002-03",3
"dev40","2002-07",5
"dev37","2000-07",2
"dev85","2000-12",4
"dev67","2000-12",1
