"commentAuthor","month","nocomm"
"dev11","2007-08",4
"dev1","2010-10",35
"dev49","2006-06",5
"dev9","2007-05",7
"dev11","2007-09",26
"dev78","2014-08",4
"dev1","2014-08",3
"dev1","2014-06",10
"dev10","2014-04",3
"dev10","2014-03",4
"dev1","2011-05",2
"dev49","2009-10",4
"dev1","2009-10",13
"dev1","2014-02",5
"dev11","2007-05",19
"dev10","2014-01",3
"dev49","2003-10",17
"dev79","2013-03",8
"dev10","2013-05",9
"dev9","2013-07",1
"dev10","2013-12",14
"dev1","2010-12",12
"dev74","2007-06",1
"dev11","2007-07",10
"dev79","2013-06",1
"dev1","2013-09",11
"dev79","2013-09",1
"dev1","2013-07",4
"dev79","2013-01",4
"dev1","2013-03",12
"dev79","2013-04",2
"dev10","2013-02",7
"dev10","2013-01",6
"dev1","2013-01",2
"dev50","2012-08",2
"dev1","2012-08",3
"dev49","2007-04",12
"dev9","2008-07",9
"dev49","2012-06",1
"dev50","2012-06",1
"dev1","2009-08",76
"dev79","2006-12",10
"dev9","2006-12",11
"dev1","2010-06",44
"dev9","2004-03",30
"dev9","2007-07",7
"dev78","2007-07",5
"dev79","2012-03",9
"dev9","2012-03",1
"dev79","2012-04",1
"dev79","2012-02",16
"dev9","2012-02",3
"dev9","2011-04",6
"dev1","2011-02",10
"dev79","2012-01",13
"dev8","2001-05",12
"dev1","2010-03",23
"dev79","2011-01",5
"dev79","2011-12",5
"dev9","2011-12",1
"dev10","2010-02",18
"dev9","2010-02",12
"dev10","2010-03",10
"dev50","2011-04",2
"dev11","2007-01",12
"dev9","2010-01",2
"dev1","2010-01",25
"dev50","2011-06",1
"dev50","2011-07",4
"dev78","2003-12",2
"dev9","2011-05",2
"dev10","2011-04",5
"dev49","2011-03",2
"dev9","2011-02",3
"dev9","2006-09",39
"dev1","2010-08",35
"dev79","2010-08",5
"dev9","2008-08",7
"dev1","2008-10",106
"dev1","2010-11",40
"dev10","2010-11",6
"dev11","2010-03",9
"dev11","2010-10",4
"dev9","2008-05",3
"dev9","2008-06",11
"dev10","2010-10",2
"dev1","2010-09",20
"dev79","2007-10",7
"dev9","2010-07",1
"dev1","2010-07",4
"dev9","2004-07",10
"dev9","2006-01",16
"dev79","2006-01",1
"dev49","2006-04",9
"dev10","2006-09",15
"dev49","2010-06",2
"dev49","2010-05",7
"dev78","2010-03",3
"dev9","2010-04",4
"dev79","2010-02",6
"dev1","2010-02",9
"dev9","2003-10",15
"dev11","2003-10",24
"dev9","2003-11",8
"dev1","2009-11",13
"dev1","2009-12",5
"dev9","2008-10",12
"dev10","2010-01",2
"dev10","2005-05",3
"dev79","2005-06",4
"dev79","2006-02",24
"dev49","2007-02",7
"dev11","2007-02",6
"dev50","2009-09",3
"dev75","2003-02",3
"dev11","2005-04",19
"dev11","2002-11",16
"dev8","2002-11",1
"dev79","2007-09",5
"dev49","2007-09",8
"dev79","2009-08",4
"dev10","2007-01",1
"dev11","2005-09",18
"dev78","2004-11",3
"dev9","2004-02",27
"dev9","2005-02",27
"dev79","2009-02",4
"dev1","2009-06",23
"dev49","2009-02",6
"dev11","2009-04",1
"dev11","2009-03",3
"dev1","2009-03",6
"dev9","2009-04",1
"dev49","2009-03",10
"dev9","2009-02",4
"dev1","2009-01",33
"dev49","2008-10",2
"dev49","2009-01",2
"dev9","2009-01",4
"dev11","2008-01",15
"dev79","2006-03",5
"dev11","2005-06",6
"dev9","2004-05",5
"dev79","2003-12",32
"dev1","2003-11",22
"dev10","2003-08",61
"dev11","2003-09",8
"dev79","2007-02",1
"dev79","2002-04",10
"dev79","2003-10",24
"dev79","2004-02",16
"dev9","2004-12",24
"dev10","2005-12",1
"dev11","2008-02",5
"dev79","2008-09",2
"dev79","2008-10",1
"dev9","2008-11",4
"dev79","2004-12",15
"dev11","2008-11",1
"dev9","2007-09",8
"dev8","2003-12",3
"dev9","2008-09",2
"dev11","2005-07",8
"dev79","2008-08",1
"dev1","2008-03",5
"dev9","2008-03",4
"dev11","2008-07",1
"dev11","2008-04",7
"dev9","2004-01",61
"dev9","2004-10",25
"dev8","2004-02",11
"dev1","2008-05",3
"dev49","2007-01",11
"dev11","2001-11",19
"dev79","2001-10",11
"dev1","2001-12",29
"dev79","2002-10",9
"dev49","2002-11",3
"dev78","2003-04",28
"dev75","2003-04",12
"dev79","2003-07",15
"dev79","2004-11",3
"dev79","2005-03",30
"dev79","2005-05",7
"dev9","2006-03",9
"dev11","2006-08",26
"dev49","2004-10",8
"dev1","2005-09",8
"dev11","2006-02",8
"dev9","2006-02",10
"dev49","2006-02",8
"dev11","2006-04",12
"dev79","2006-04",2
"dev11","2006-10",1
"dev48","2002-02",33
"dev72","2002-02",7
"dev72","2002-04",41
"dev48","2002-04",34
"dev48","2003-04",3
"dev75","2003-05",1
"dev1","2004-02",16
"dev79","2004-01",8
"dev9","2005-04",24
"dev79","2004-07",24
"dev78","2005-02",7
"dev9","2005-10",19
"dev79","2001-07",3
"dev78","2003-03",7
"dev9","2003-12",11
"dev9","2005-11",14
"dev49","2008-02",5
"dev8","2001-04",5
"dev72","2002-10",1
"dev8","2003-05",9
"dev9","2004-09",25
"dev49","2005-04",9
"dev9","2005-07",4
"dev10","2006-08",3
"dev75","2002-07",8
"dev48","2002-12",1
"dev78","2003-08",24
"dev8","2004-01",6
"dev78","2004-08",14
"dev11","2004-08",11
"dev9","2006-05",24
"dev1","2006-08",3
"dev78","2007-03",4
"dev74","2002-02",14
"dev74","2002-10",32
"dev1","2004-05",11
"dev79","2006-07",2
"dev49","2004-11",6
"dev48","2003-10",2
"dev78","2005-12",3
"dev34","2002-04",5
"dev8","2003-11",9
"dev78","2004-09",5
"dev78","2005-08",4
"dev10","2007-02",1
"dev75","2002-01",14
"dev34","2001-11",7
"dev11","2003-07",25
"dev10","2004-12",8
"dev10","2005-01",2
"dev79","2005-01",12
"dev78","2004-02",6
"dev78","2004-03",2
"dev79","2006-08",9
"dev49","2007-07",2
"dev73","2001-05",1
"dev34","2002-08",2
"dev78","2006-10",11
"dev9","2007-06",13
"dev49","2007-08",2
"dev48","2001-10",7
"dev48","2002-06",6
"dev10","2003-01",21
"dev49","2003-08",27
"dev78","2007-08",5
"dev9","2007-08",10
"dev48","2001-11",13
"dev49","2003-11",1
"dev75","2002-11",4
"dev11","2004-04",14
"dev78","2005-04",3
"dev10","2006-06",8
"dev9","2006-07",22
"dev8","2006-08",1
"dev74","2001-09",2
"dev1","2001-09",23
"dev79","2004-10",3
"dev11","2002-09",5
"dev78","2003-06",22
"dev75","2003-06",3
"dev78","2003-07",10
"dev10","2005-10",9
"dev78","2003-05",5
"dev49","2004-02",4
"dev79","2004-04",14
"dev1","2004-12",13
"dev1","2005-01",7
"dev74","2001-12",23
"dev11","2001-12",9
"dev34","2001-12",5
"dev74","2002-11",6
"dev1","2002-12",12
"dev11","2003-06",14
"dev74","2004-12",2
"dev74","2005-02",1
"dev79","2005-04",7
"dev11","2006-12",4
"dev9","2008-01",5
"dev79","2006-11",4
"dev1","2005-11",2
"dev79","2005-12",6
"dev1","2004-08",2
"dev1","2003-12",4
"dev1","2004-03",3
"dev79","2002-12",7
"dev10","2003-12",18
"dev9","2003-08",6
"dev72","2002-03",27
"dev78","2014-07",1
"dev1","2014-07",7
"dev1","2010-05",18
"dev9","2010-06",2
"dev79","2007-08",3
"dev79","2008-07",5
"dev79","2009-07",4
"dev79","2009-11",2
"dev79","2010-05",12
"dev79","2010-10",1
"dev79","2010-11",3
"dev49","2009-06",6
"dev49","2009-07",2
"dev79","2012-11",1
"dev1","2013-05",2
"dev9","2013-09",1
"dev1","2013-08",4
"dev11","2004-12",8
"dev11","2008-05",1
"dev1","2011-09",4
"dev9","2013-04",1
"dev1","2013-04",1
"dev11","2009-01",1
"dev9","2013-02",1
"dev49","2012-11",1
"dev79","2003-06",8
"dev9","2012-08",1
"dev1","2012-05",1
"dev79","2012-06",2
"dev79","2011-10",3
"dev79","2011-11",3
"dev9","2010-09",3
"dev9","2012-01",1
"dev50","2011-03",2
"dev9","2011-08",1
"dev1","2011-04",6
"dev9","2011-10",1
"dev79","2006-09",3
"dev9","2011-07",1
"dev49","2011-06",1
"dev79","2011-05",3
"dev79","2011-04",1
"dev78","2011-01",2
"dev10","2010-05",1
"dev49","2010-12",2
"dev78","2010-12",1
"dev9","2010-12",1
"dev9","2010-11",2
"dev50","2010-09",1
"dev79","2010-09",2
"dev79","2010-07",1
"dev10","2007-03",3
"dev79","2010-04",1
"dev79","2010-03",1
"dev79","2010-01",2
"dev11","2010-01",5
"dev9","2009-09",1
"dev79","2004-06",5
"dev11","2009-05",1
"dev11","2008-06",5
"dev1","2005-07",9
"dev79","2009-01",2
"dev11","2008-10",2
"dev79","2009-06",7
"dev49","2009-05",1
"dev49","2009-04",5
"dev9","2007-04",8
"dev11","2009-02",3
"dev78","2003-02",9
"dev49","2005-12",3
"dev9","2008-12",1
"dev49","2007-10",5
"dev78","2005-06",3
"dev48","2003-01",3
"dev34","2002-05",8
"dev48","2002-05",12
"dev48","2003-06",5
"dev79","2006-06",1
"dev79","2006-05",1
"dev11","2005-05",13
"dev74","2005-10",10
"dev79","2008-06",1
"dev78","2005-01",1
"dev78","2005-10",3
"dev79","2008-03",1
"dev75","2002-03",17
"dev78","2003-11",6
"dev48","2004-06",3
"dev49","2005-11",4
"dev74","2002-03",18
"dev10","2006-07",10
"dev78","2006-08",1
"dev48","2003-08",1
"dev8","2005-07",1
"dev8","2001-06",6
"dev11","2001-08",5
"dev8","2001-12",3
"dev34","2002-02",1
"dev75","2002-08",1
"dev9","2003-09",3
"dev11","2004-01",8
"dev74","2003-12",3
"dev8","2005-08",1
"dev74","2005-11",2
"dev11","2001-07",1
"dev79","2001-08",2
"dev79","2001-09",1
"dev79","2001-12",3
"dev1","2005-06",5
"dev49","2006-10",1
"dev79","2002-02",5
"dev74","2001-10",2
"dev78","2007-05",4
"dev9","2002-07",2
"dev8","2004-12",4
"dev1","2005-05",11
"dev10","2006-10",13
"dev73","2001-03",7
"dev74","2002-04",10
"dev8","2002-09",3
"dev74","2003-11",1
"dev10","2004-01",13
"dev74","2005-01",1
"dev49","2006-07",9
"dev72","2001-05",1
"dev79","2001-06",1
"dev49","2005-05",5
"dev79","2006-10",2
"dev79","2007-07",1
"dev11","2001-05",1
"dev48","2004-01",1
"dev8","2004-10",2
"dev78","2005-07",2
"dev73","2001-08",1
"dev79","2002-01",5
"dev75","2002-09",1
"dev48","2004-05",4
"dev8","2004-09",6
"dev10","2005-04",2
"dev9","2007-11",3
"dev72","2001-12",1
"dev79","2003-09",4
"dev8","2005-06",1
"dev79","2001-02",2
"dev48","2002-08",4
"dev49","2004-09",3
"dev78","2006-03",2
"dev48","2003-03",2
"dev49","2004-01",1
"dev49","2006-01",3
"dev79","2001-11",5
"dev79","2003-08",2
"dev8","2003-10",3
"dev48","2001-12",2
"dev34","2002-07",1
"dev8","2002-07",2
"dev78","2007-12",2
"dev10","2004-08",6
"dev10","2006-05",1
"dev1","2006-02",1
"dev79","2003-11",4
"dev49","2003-07",7
"dev49","2002-09",5
"dev75","2003-03",2
"dev75","2001-08",5
"dev75","2001-07",5
"dev69","2001-08",1
"dev79","2005-09",1
"dev78","2013-12",2
"dev78","2013-09",1
"dev9","2013-08",2
"dev78","2013-05",3
"dev78","2010-10",1
"dev10","2011-02",1
"dev79","2011-02",1
"dev11","2009-08",1
"dev9","2009-10",2
"dev78","2008-07",1
"dev79","2002-11",7
"dev34","2002-03",1
"dev48","2003-09",1
"dev78","2004-06",3
"dev49","2007-03",1
"dev10","2005-09",3
"dev48","2004-12",1
"dev74","2005-08",2
"dev8","2007-08",1
"dev34","2003-04",5
"dev10","2005-03",2
"dev10","2004-10",2
"dev49","2005-09",1
"dev74","2004-01",4
"dev79","2013-05",1
"dev79","2007-12",1
"dev79","2011-08",4
"dev79","2012-08",2
"dev11","2008-08",1
"dev79","2012-12",4
"dev79","2011-03",1
"dev79","2008-04",4
"dev11","2008-09",1
"dev79","2007-01",2
"dev11","2007-12",6
"dev9","2009-03",3
"dev78","2009-03",1
"dev1","2006-05",2
"dev1","2006-07",2
"dev75","2002-04",2
"dev10","2004-06",11
"dev74","2004-08",3
"dev78","2006-02",3
"dev8","2001-03",3
"dev10","2002-12",8
"dev11","2004-05",3
"dev9","2007-10",1
"dev79","2002-07",1
"dev9","2002-09",5
"dev75","2003-10",2
"dev74","2004-02",2
"dev49","2004-08",3
"dev48","2004-04",1
"dev10","2005-08",1
"dev49","2003-09",10
"dev72","2001-11",1
"dev75","2003-01",1
"dev1","2001-04",2
"dev79","2002-09",3
"dev34","2001-09",2
"dev11","2001-04",1
"dev74","2004-07",2
"dev74","2005-04",3
"dev74","2001-02",1
"dev49","2006-12",1
"dev49","2006-09",2
"dev10","2006-01",1
"dev74","2004-06",3
"dev78","2007-10",1
"dev50","2010-05",1
"dev50","2010-06",1
"dev50","2010-08",3
"dev50","2009-12",3
"dev1","2008-02",1
"dev78","2004-10",2
"dev8","2005-03",1
"dev78","2007-04",1
"dev48","2003-12",1
"Simeon","2005-10",1
"dev9","2013-11",1
"dev1","2013-02",2
"dev9","2007-02",1
"dev75","2003-09",1
"dev74","2002-09",1
"dev8","2002-08",1
