"name","month","dnoc","bugfixes"
"dev42","2008-10",19,11
"dev42","2008-11",17,13
"dev43","2008-11",22,22
"dev5","2008-11",1,4
"dev43","2008-12",7,12
"dev42","2008-12",4,8
"dev5","2008-12",1,1
"dev43","2009-01",8,11
"dev42","2009-01",4,2
"dev5","2009-01",3,1
"dev42","2009-02",12,10
"dev43","2009-02",9,19
"dev5","2009-02",0,1
"dev42","2009-03",6,0
"dev43","2009-03",4,4
"dev5","2009-03",2,3
"dev43","2009-04",1,9
"dev42","2009-04",12,6
"dev5","2009-04",1,2
"dev5","2009-05",3,8
"dev43","2009-05",9,17
"dev42","2009-05",2,3
"dev42","2009-06",12,11
"dev43","2009-06",15,12
"dev5","2009-06",1,0
"dev42","2009-07",10,11
"dev43","2009-07",3,2
"dev5","2009-08",3,0
"dev42","2009-08",8,7
"dev43","2009-08",11,6
"dev42","2009-09",17,5
"dev43","2009-09",1,4
"dev42","2009-10",5,2
"dev43","2009-10",11,5
"dev5","2009-10",3,2
"dev43","2009-11",21,8
"dev5","2009-11",8,6
"dev42","2009-11",14,3
"dev43","2009-12",27,10
"dev5","2009-12",7,0
"dev42","2009-12",19,10
"dev5","2010-01",39,9
"dev106","2010-01",5,1
"dev42","2010-01",6,0
"dev106","2010-02",1,0
"dev42","2010-02",1,0
"dev5","2010-02",0,1
"dev42","2010-03",0,1
"dev5","2010-03",0,1
"dev42","2010-04",5,1
"dev106","2010-04",2,0
"dev5","2010-04",7,2
"dev5","2010-05",6,22
"dev42","2010-05",8,3
"dev43","2010-05",2,0
"dev106","2010-05",3,0
"dev5","2010-06",26,28
"dev42","2010-06",3,1
"dev5","2010-07",4,10
"dev106","2010-07",5,4
"dev42","2010-07",0,9
"dev5","2010-08",9,6
"dev106","2010-08",1,0
"dev42","2010-08",5,5
"dev42","2010-09",7,6
"dev5","2010-09",20,23
"dev106","2010-09",4,1
"dev42","2010-10",19,7
"dev5","2010-12",45,7
"dev5","2011-01",19,2
"dev5","2010-10",3,8
"dev106","2010-10",1,0
"dev42","2010-11",19,5
"dev5","2010-11",2,3
"dev106","2010-11",4,0
"dev42","2010-12",6,2
"dev106","2011-01",3,1
"dev42","2011-01",3,0
"dev5","2011-02",2,14
"dev42","2011-02",5,2
"dev5","2011-03",18,22
"dev42","2011-03",13,5
"dev106","2011-03",3,0
"dev5","2011-04",15,8
"dev42","2011-04",1,0
"dev106","2011-04",2,0
"dev5","2011-05",15,22
"dev106","2011-05",6,0
"dev42","2011-05",7,5
"dev42","2011-06",14,27
"dev5","2011-06",5,6
"dev106","2011-06",2,0
"dev42","2011-07",8,12
"dev106","2011-07",1,0
"dev5","2011-07",5,14
"dev44","2011-07",207,63
"dev42","2011-08",11,7
"dev44","2011-08",49,16
"dev5","2011-08",2,1
"dev106","2011-08",1,1
"dev44","2011-09",38,5
"dev5","2011-09",11,15
"dev42","2011-09",1,5
"dev106","2011-09",4,2
"dev44","2011-10",51,10
"dev42","2011-10",5,1
"dev5","2011-10",3,11
"dev42","2011-11",9,3
"dev5","2011-11",7,2
"dev42","2011-12",16,6
"dev5","2011-12",2,11
"dev5","2012-01",4,4
"dev42","2012-01",6,0
"dev106","2012-01",1,0
"dev5","2012-02",2,5
"dev42","2012-02",38,11
"dev42","2012-03",19,3
"dev106","2012-03",2,2
"dev42","2012-04",3,1
"dev5","2012-04",0,2
"dev5","2012-05",1,1
"dev42","2012-05",6,3
"dev5","2012-06",4,1
"dev42","2012-06",4,4
"dev42","2012-07",5,4
"dev5","2012-07",5,0
"dev42","2012-08",2,5
"dev44","2012-09",5,4
"dev42","2012-09",2,1
"dev5","2012-09",1,1
"dev42","2012-10",9,10
"dev5","2012-10",2,2
"dev42","2012-11",14,6
"dev44","2012-11",5,5
"dev42","2012-12",3,4
"dev5","2012-12",1,2
"dev5","2013-01",2,1
"dev42","2013-01",4,2
"dev5","2013-02",2,8
"dev42","2013-03",2,2
"dev5","2013-05",3,7
"dev42","2013-06",5,5
"dev5","2013-06",20,32
"dev107","2013-06",1,4
"dev107","2013-07",1,3
"dev5","2013-07",2,1
"dev107","2013-08",3,19
"dev108","2013-08",0,6
"dev5","2013-08",5,1
"dev107","2013-11",2,7
"dev107","2013-09",1,2
"dev5","2013-09",0,2
"dev108","2013-10",0,9
"dev5","2013-10",1,4
"dev42","2013-10",2,3
"dev107","2013-10",4,7
"dev5","2013-11",5,10
"dev108","2013-11",0,11
"dev42","2013-11",0,2
"dev107","2013-12",8,6
"dev5","2013-12",2,2
"dev42","2013-12",1,2
"dev109","2013-12",3,4
"dev107","2014-01",2,2
"dev5","2014-01",1,1
"dev109","2014-01",4,4
"dev42","2014-01",3,0
"dev107","2014-02",16,9
"dev5","2014-02",6,14
"dev109","2014-02",10,18
"dev107","2014-03",7,5
"dev5","2014-03",7,11
"dev109","2014-03",2,1
"dev108","2014-03",3,0
"dev107","2014-04",3,3
"dev108","2014-04",30,0
"dev5","2014-04",25,14
"dev109","2014-04",1,2
"dev5","2014-05",1,10
"dev107","2014-05",7,7
"dev109","2014-05",0,4
"dev5","2014-06",0,6
"dev107","2014-06",1,2
"dev107","2014-07",2,7
"dev5","2014-07",41,62
"dev109","2014-08",15,1
"dev5","2014-08",2,6
"dev107","2014-08",2,0
