"commentAuthor","month","nocomm"
"dev53","2014-02",2
"dev13","2011-08",4
"dev14","2011-07",8
"dev53","2012-06",6
"dev83","2010-10",4
"dev35","2011-09",5
"dev35","2010-03",27
"dev35","2010-04",19
"dev84","2010-07",34
"dev53","2013-10",2
"dev53","2013-09",2
"dev35","2011-05",4
"dev35","2011-06",1
"dev82","2010-11",8
"dev83","2010-08",29
"dev82","2010-10",5
"dev35","2010-07",31
"dev51","2010-06",2
"dev82","2010-06",2
"dev82","2010-05",25
"dev35","2010-05",36
"dev82","2010-07",1
"dev82","2010-03",2
"dev52","2010-04",7
"dev14","2012-04",1
"dev81","2009-10",2
"dev53","2013-07",3
"dev52","2013-08",1
"dev53","2013-04",9
"dev81","2011-09",4
"dev84","2011-10",9
"dev82","2010-12",7
"dev83","2010-09",20
"dev81","2010-04",22
"dev83","2010-04",6
"dev52","2012-07",4
"dev52","2011-02",13
"dev14","2011-10",19
"dev83","2011-02",20
"dev83","2011-01",9
"dev83","2011-07",11
"dev81","2013-02",2
"dev82","2012-10",1
"dev53","2012-11",15
"dev52","2013-01",1
"dev83","2013-01",1
"dev53","2012-12",1
"dev83","2010-06",13
"dev52","2010-08",26
"dev52","2012-11",1
"dev81","2010-05",11
"dev13","2012-02",3
"dev83","2012-05",10
"dev52","2012-09",1
"dev82","2012-07",3
"dev35","2011-10",3
"dev53","2012-09",1
"dev52","2012-03",7
"dev81","2012-01",5
"dev81","2012-09",1
"dev53","2012-08",1
"dev52","2012-04",3
"dev83","2012-06",2
"dev53","2011-01",1
"dev13","2012-03",2
"dev81","2011-12",5
"dev81","2012-04",1
"dev84","2011-05",9
"dev35","2010-06",49
"dev84","2012-04",1
"dev82","2012-03",1
"dev83","2011-04",14
"dev35","2012-01",2
"dev12","2010-02",13
"dev84","2011-12",1
"dev84","2012-01",2
"dev52","2011-08",1
"dev52","2011-11",3
"dev81","2011-05",4
"dev35","2011-11",1
"Jason Rosenberg","2011-10",1
"dev81","2011-10",2
"dev83","2011-08",3
"dev53","2011-06",6
"dev53","2011-07",2
