"name","month","dnoc","bugfixes"
"dev7","2010-05",12,2
"dev41","2010-06",3,0
"dev7","2010-06",1,8
"dev41","2010-10",9,2
"dev41","2010-12",1,0
"dev41","2011-01",1,0
"dev41","2011-02",1,0
"dev41","2011-03",2,0
"dev41","2011-04",1,0
"dev41","2011-05",14,0
"dev41","2011-06",6,1
"dev41","2011-07",2,0
"dev41","2011-08",5,0
"dev41","2011-09",11,7
"dev41","2011-10",37,3
"dev41","2011-11",12,4
"dev41","2011-12",7,11
"dev41","2012-01",6,0
"dev41","2012-02",3,1
"dev18","2010-05",0,1
"dev18","2010-06",1,0
"dev18","2010-08",1,0
"dev18","2010-10",1,0
"dev7","2010-11",0,1
"dev96","2010-11",0,1
"dev18","2011-08",1,1
"dev98","2011-08",1,1
"dev7","2011-09",0,2
"dev98","2012-01",2,2
"dev99","2012-04",1,1
"dev98","2012-04",1,1
"dev98","2012-05",43,5
"dev99","2012-05",9,11
"dev98","2012-06",12,5
"dev99","2013-04",0,3
"dev98","2013-05",2,0
"dev99","2014-02",3,0
