"commentAuthor","month","nocomm"
"dev7","2010-08",1
"dev7","2011-01",1
"dev96","2010-11",1
"dev7","2010-01",5
"dev18","2010-05",2
"dev96","2007-09",2
"dev17","2008-05",1
"dev96","2009-11",2
"dev96","2009-04",1
"dev41","2009-04",1
"dev17","2008-11",2
"dev96","2008-06",2
"dev96","2008-09",1
"dev18","2008-08",1
"dev99","2008-04",1
"dev41","2008-06",1
"dev17","2007-10",4
"dev16","2006-02",3
"dev16","2006-03",3
"dev3","2006-01",1
"dev99","2004-09",2
"dev18","2005-11",1
"dev3","2005-11",1
"dev97","2006-03",1
"dev3","2005-12",1
"dev17","2003-02",3
"dev16","2003-03",4
"dev17","2003-03",6
"dev16","2002-08",1
"dev96","2007-04",1
"dev55","2003-11",2
"dev16","2005-09",3
"dev96","2005-07",2
"dev17","2005-05",1
"dev55","2005-03",1
"dev96","2005-03",2
"dev3","2002-01",2
"dev3","2001-06",3
"dev3","2002-02",2
"dev17","2003-04",2
"dev55","2003-10",4
"dev18","2004-11",2
"dev3","2004-11",4
"dev3","2004-10",3
"dev96","2004-08",1
"dev17","2003-10",2
"dev3","2003-11",1
"dev96","2003-11",1
"dev55","2004-04",1
"dev3","2004-04",1
"dev94","2001-06",1
"dev16","2002-04",1
"dev16","2002-03",1
"dev93","2001-01",1
"dev41","2013-06",1
"dev99","2013-04",1
