"commentAuthor","month","nocomm"
"dev20","2007-06",34
"dev20","2006-09",95
"dev59","2007-11",18
"dev59","2007-03",51
"dev26","2006-08",90
"dev59","2008-10",4
"dev4","2007-04",62
"dev31","2005-12",32
"dev4","2007-07",55
"dev60","2008-06",32
"dev4","2007-10",14
"dev4","2006-03",257
"dev32","2006-03",1
"dev21","2008-07",16
"dev61","2006-04",3
"dev23","2008-03",3
"dev20","2007-10",65
"dev23","2007-09",34
"dev59","2007-07",8
"dev30","2006-08",35
"dev59","2007-04",31
"dev61","2006-12",1
"dev20","2006-06",114
"dev26","2006-09",56
"dev4","2006-09",74
"dev62","2012-06",24
"dev29","2009-04",13
"dev24","2010-01",26
"dev29","2010-05",8
"dev24","2010-10",12
"dev29","2009-08",11
"dev31","2008-08",31
"dev24","2011-10",2
"dev24","2011-11",6
"dev21","2010-04",8
"dev29","2009-03",24
"dev29","2009-09",5
"dev24","2010-12",12
"dev57","2010-03",2
"dev21","2009-12",27
"dev59","2010-11",6
"dev59","2010-08",11
"dev4","2010-08",16
"dev4","2010-09",31
"dev24","2010-08",6
"dev28","2009-04",11
"dev21","2010-03",37
"dev24","2009-12",8
"dev4","2010-04",22
"dev29","2010-01",12
"dev24","2010-02",4
"dev29","2009-12",8
"dev4","2009-09",29
"dev21","2008-11",21
"dev29","2008-09",12
"dev61","2008-10",7
"dev4","2004-10",79
"dev30","2005-08",128
"dev25","2005-03",35
"dev28","2008-10",2
"dev59","2009-03",10
"dev27","2009-04",22
"dev28","2005-09",9
"dev60","2008-12",20
"dev21","2008-10",15
"dev59","2008-09",3
"dev59","2008-08",16
"dev59","2008-06",11
"dev20","2008-04",32
"dev61","2006-11",7
"dev4","2007-08",31
"dev61","2006-10",4
"dev24","2011-03",3
"dev59","2011-03",18
"dev61","2011-05",4
"dev4","2010-10",6
"dev21","2009-08",25
"dev4","2011-11",1
"dev24","2011-02",1
"dev29","2010-08",1
"dev27","2010-07",18
"dev23","2010-05",2
"dev61","2011-11",5
"dev24","2011-12",4
"dev61","2011-12",8
"dev59","2011-09",5
"dev59","2011-05",9
"dev60","2009-09",3
"dev27","2012-04",9
"dev59","2012-02",2
"dev27","2011-02",4
"dev27","2011-07",13
"dev31","2006-10",7
"dev4","2005-03",112
"dev31","2006-07",23
"dev57","2012-05",4
"dev61","2011-01",6
"dev62","2011-03",2
"dev62","2011-07",2
"dev62","2011-08",4
"dev62","2011-11",3
"dev62","2012-02",4
"dev62","2011-01",1
"dev26","2010-03",3
"dev4","2008-05",38
"dev20","2007-12",56
"dev4","2007-11",9
"dev4","2008-03",22
"dev4","2006-04",76
"dev63","2006-06",3
"dev63","2006-04",2
"dev4","2007-02",68
"dev31","2006-03",16
"dev29","2005-05",4
"dev31","2007-05",6
"dev26","2006-02",21
"dev28","2006-10",7
"dev63","2007-02",1
"dev59","2007-08",6
"dev59","2011-01",11
"dev60","2010-04",10
"dev60","2010-05",32
"dev21","2010-05",2
"dev21","2010-02",10
"dev20","2008-08",1
"dev20","2006-04",33
"dev31","2007-12",4
"dev33","2012-03",1
"dev61","2012-06",3
"dev27","2012-06",14
"dev31","2007-06",11
"dev62","2012-03",1
"dev30","2005-06",97
