"name","month","opened","responses","activities"
"dev21","2007-11",0,0,6
"dev31","2007-11",0,0,3
"dev64","2007-11",0,0,1
"dev27","2007-11",0,0,2
"dev26","2007-11",0,0,2
"dev4","2007-11",0,0,5
"dev61","2007-10",0,0,2
"dev62","2007-10",0,0,3
"dev22","2007-10",0,0,21
"dev31","2007-10",0,0,9
"dev4","2007-10",0,0,1
"dev26","2007-10",0,0,2
"dev20","2007-10",0,0,9
"dev21","2007-10",0,0,1
"dev62","2007-09",0,0,4
"dev4","2007-09",0,0,13
"dev23","2007-09",0,0,6
"dev20","2007-09",0,0,14
"dev21","2007-09",0,0,4
"dev22","2007-09",0,0,8
"dev28","2007-09",0,0,3
"dev27","2007-09",0,0,5
"dev29","2007-09",0,0,3
"dev31","2007-09",0,0,7
"dev20","2008-04",0,0,8
"dev22","2008-04",0,0,17
"dev31","2008-04",0,0,20
"dev33","2008-04",0,0,3
"dev29","2008-04",0,0,4
"dev64","2008-04",0,0,1
"dev4","2008-04",0,0,25
"dev21","2008-04",0,0,3
"dev68","2008-04",0,0,6
"dev61","2008-04",0,0,1
"dev60","2008-04",0,0,3
"dev20","2008-08",0,0,6
"dev22","2008-08",0,0,28
"dev4","2008-08",0,0,4
"dev31","2008-08",0,0,10
"dev21","2008-08",0,0,1
"dev29","2008-08",0,0,3
"dev56","2008-08",0,0,3
"dev60","2008-08",0,0,1
"dev59","2008-08",0,0,1
"dev61","2008-08",0,0,8
"dev68","2008-08",0,0,1
"dev22","2008-12",0,0,20
"dev20","2008-12",0,0,11
"dev29","2008-12",0,0,14
"dev21","2008-12",0,0,7
"dev60","2008-12",0,0,9
"dev59","2008-12",0,0,3
"dev4","2008-12",0,0,11
"dev33","2008-12",0,0,2
"dev56","2008-12",0,0,1
"dev31","2008-12",0,0,1
"dev68","2008-12",0,0,1
"dev28","2008-12",0,0,1
"dev64","2008-12",0,0,1
"dev31","2008-02",0,0,9
"dev22","2008-02",0,0,41
"dev21","2008-02",0,0,5
"dev4","2008-02",0,0,8
"dev27","2008-02",0,0,5
"dev62","2008-02",0,0,1
"dev23","2008-02",0,0,3
"dev21","2008-01",0,0,12
"dev29","2008-01",0,0,9
"dev22","2008-01",0,0,17
"dev4","2008-01",0,0,22
"dev30","2008-01",0,0,1
"dev31","2008-01",0,0,7
"dev61","2008-01",0,0,1
"dev62","2008-01",0,0,1
"dev27","2008-01",0,0,3
"dev31","2008-07",0,0,11
"dev22","2008-07",0,0,15
"dev59","2008-07",0,0,1
"dev4","2008-07",0,0,7
"dev20","2008-07",0,0,5
"dev21","2008-07",0,0,2
"dev60","2008-07",0,0,2
"dev62","2008-07",0,0,2
"dev56","2008-07",0,0,2
"dev29","2008-07",0,0,2
"dev61","2008-06",0,0,1
"dev31","2008-06",0,0,6
"dev56","2008-06",0,0,1
"dev22","2008-06",0,0,5
"dev4","2008-06",0,0,5
"dev20","2008-06",0,0,5
"dev60","2008-06",0,0,4
"dev29","2008-06",0,0,2
"dev22","2008-03",0,0,6
"dev4","2008-03",0,0,11
"dev31","2008-03",0,0,46
"dev28","2008-03",0,0,1
"dev21","2008-03",0,0,16
"dev20","2008-03",0,0,11
"dev23","2008-03",0,0,7
"dev27","2008-03",0,0,1
"dev64","2008-03",0,0,4
"dev68","2008-03",0,0,5
"dev60","2008-03",0,0,4
"dev62","2008-03",0,0,1
"dev56","2008-03",0,0,4
"dev29","2008-03",0,0,2
"dev22","2008-05",0,0,5
"dev4","2008-05",0,0,7
"dev20","2008-05",0,0,5
"dev61","2008-05",0,0,1
"dev62","2008-05",0,0,2
"dev31","2008-05",0,0,12
"dev29","2008-05",0,0,1
"dev21","2008-05",0,0,6
"dev68","2008-05",0,0,1
"dev56","2008-05",0,0,1
